Block Type,96well,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\pma test.eds,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,Not Started,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Ct,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,AMPNC,HIGHSD
F2,Standard 6,16s,STANDARD,SYBR,None,22.38129234,22.35310936,0.073867358,3542.874023,,,TRUE,0.676053129,TRUE,3,16,85.09290314,,,,N,N
F3,Standard 6,16s,STANDARD,SYBR,None,22.40873528,22.35310936,0.073867358,3542.874023,,,TRUE,0.676053129,TRUE,3,15,85.241745,,,,N,N
F4,"IOH+, PMA-",16s,UNKNOWN,SYBR,None,15.61441994,15.39017582,0.413578928,2427374,3266880.25,1439006.875,TRUE,0.676053129,TRUE,3,9,85.09238434,,,,N,N
F5,"IOH+, PMA-",16s,UNKNOWN,SYBR,None,15.59191704,15.39017582,0.413578928,2481440.5,3266880.25,1439006.875,TRUE,0.676053129,TRUE,3,9,84.9427948,,,,N,N
F6,"IOH+, PMA-",16s,UNKNOWN,SYBR,None,15.82410812,15.39017582,0.413578928,1976912.125,3266880.25,1439006.875,TRUE,0.676053129,TRUE,3,9,84.9427948,,,,N,N
G1,Standard 7,16s,STANDARD,SYBR,None,,,,,,,TRUE,0.676053129,TRUE,3,8,,,,,N,N
G2,Standard 7,16s,STANDARD,SYBR,None,,,,,,,TRUE,0.676053129,TRUE,3,9,,,,,N,N
G3,Standard 7,16s,STANDARD,SYBR,None,,,,,,,TRUE,0.676053129,TRUE,3,10,,,,,N,N
G4,"IOH-, PMA+",16s,UNKNOWN,SYBR,None,15.8192997,16.27972603,0.30031997,1986239.75,1317358.875,413645.75,TRUE,0.676053129,TRUE,3,9,85.09238434,,,,N,N
G5,"IOH-, PMA+",16s,UNKNOWN,SYBR,None,15.82794762,16.27972603,0.30031997,1969495.5,1317358.875,413645.75,TRUE,0.676053129,TRUE,3,9,84.9427948,,,,N,N
G6,"IOH-, PMA+",16s,UNKNOWN,SYBR,None,16.09387016,16.27972603,0.30031997,1518089.875,1317358.875,413645.75,TRUE,0.676053129,TRUE,3,9,84.9427948,,,,N,N
H1,ntc,16s,NTC,SYBR,None,30.57741928,30.24754333,0.708835542,,,,TRUE,0.676053129,TRUE,3,24,84.94355774,,,,Y,Y
H2,ntc,16s,NTC,SYBR,None,30.73132515,30.24754333,0.708835542,,,,TRUE,0.676053129,TRUE,3,24,84.49551392,,,,Y,Y
H3,ntc,16s,NTC,SYBR,None,29.43388939,30.24754333,0.708835542,,,,TRUE,0.676053129,TRUE,3,22,84.64430237,,,,Y,Y
H4,"IOH-, PMA+",16s,UNKNOWN,SYBR,None,16.53473854,16.27972603,0.30031997,985964.8125,1317358.875,413645.75,TRUE,0.676053129,TRUE,3,9,85.09238434,,,,N,N
H5,"IOH-, PMA+",16s,UNKNOWN,SYBR,None,16.66127014,16.27972603,0.30031997,871096.5,1317358.875,413645.75,TRUE,0.676053129,TRUE,3,10,85.09213257,,,,N,N
H6,"IOH-, PMA+",16s,UNKNOWN,SYBR,None,16.37496185,16.27972603,0.30031997,1152897.75,1317358.875,413645.75,TRUE,0.676053129,TRUE,3,9,84.9427948,,,,N,N
